H HEADER INFORMATION ------------------------------------------- 
H COMPANY : Impetro Operating, LLC
H FIELD   : Winkler County., TX (NAD 27)
H SITE    : Sec 03, Blk C-24 PSLS
H WELL    : Kudu A #2H
H WELLPATH: Wellbore #1
H DEPTHUNT: usft
H SURVDATE: 1/1/1990 
H---------------------------------------------------------------- 
H WELL INFORMATION 
H WELL EW MAP : 1072754.46
H WELL NS MAP : 852298.31
H DATUM ELEVN : 3018.00
H VSECT ANGLE : 166.60
H VSECT NORTH : 0.00
H VSECT EAST  : 0.00
H----------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  122.00 - 19683.00 SURVEY #1 : MWD
H  19683.00 - 21261.62 PLAN #6A : MWD
H----------------------------------------------------------------
H SURVEY LIST
H MD      INC       AZI       TVD       NS        EW
3850.00   1.05      82.11     3849.42   32.96     42.42     
3860.00   1.06      82.83     3859.42   32.99     42.60     
3870.00   1.07      83.53     3869.41   33.01     42.79     
3880.00   1.09      84.22     3879.41   33.03     42.98     
3890.00   1.10      84.90     3889.41   33.05     43.17     
3900.00   1.11      85.32     3899.41   33.06     43.36     
3910.00   1.12      85.62     3909.41   33.08     43.55     
3920.00   1.13      85.92     3919.41   33.09     43.75     
3930.00   1.14      86.21     3929.40   33.11     43.94     
3940.00   1.15      86.49     3939.40   33.12     44.14     
3950.00   1.16      86.78     3949.40   33.13     44.34     
3960.00   1.17      87.05     3959.40   33.14     44.55     
3970.00   1.18      87.32     3969.40   33.15     44.75     
3980.00   1.19      87.59     3979.39   33.16     44.96     
3990.00   1.20      87.90     3989.39   33.17     45.17     
4000.00   1.19      88.40     3999.39   33.18     45.38     
4010.00   1.18      88.90     4009.39   33.18     45.58     
4020.00   1.17      89.42     4019.38   33.18     45.79     
4030.00   1.15      89.95     4029.38   33.19     45.99     
4040.00   1.14      90.48     4039.38   33.19     46.19     
4050.00   1.13      91.03     4049.38   33.18     46.39     
4060.00   1.12      91.58     4059.38   33.18     46.58     
4070.00   1.11      92.15     4069.37   33.17     46.78     
4080.00   1.10      92.73     4079.37   33.16     46.97     
4090.00   1.12      93.13     4089.37   33.15     47.17     
4100.00   1.15      93.44     4099.37   33.14     47.36     
4110.00   1.19      93.74     4109.37   33.13     47.57     
4120.00   1.22      94.02     4119.36   33.12     47.78     
4130.00   1.25      94.29     4129.36   33.10     47.99     
4140.00   1.28      94.54     4139.36   33.08     48.21     
4150.00   1.31      94.78     4149.36   33.06     48.44     
4160.00   1.34      95.01     4159.35   33.04     48.67     
4170.00   1.37      95.23     4169.35   33.02     48.90     
4180.00   1.41      95.46     4179.35   33.00     49.15     
4190.00   1.44      95.78     4189.35   32.98     49.39     
4200.00   1.47      96.08     4199.34   32.95     49.64     
4210.00   1.50      96.36     4209.34   32.92     49.90     
4220.00   1.53      96.64     4219.34   32.89     50.17     
4230.00   1.57      96.90     4229.33   32.86     50.43     
4240.00   1.60      97.15     4239.33   32.83     50.71     
4250.00   1.63      97.40     4249.32   32.79     50.99     
4260.00   1.66      97.63     4259.32   32.75     51.27     
4270.00   1.69      97.86     4269.32   32.71     51.56     
4280.00   1.66      98.06     4279.31   32.67     51.85     
4290.00   1.61      98.28     4289.31   32.63     52.13     
4300.00   1.55      98.51     4299.30   32.59     52.41     
4310.00   1.50      98.76     4309.30   32.55     52.67     
4320.00   1.45      99.03     4319.30   32.51     52.92     
4330.00   1.39      99.32     4329.29   32.47     53.17     
4340.00   1.34      99.63     4339.29   32.43     53.40     
4350.00   1.29      99.96     4349.29   32.39     53.63     
4360.00   1.24      100.33    4359.29   32.36     53.85     
4370.00   1.19      100.50    4369.28   32.32     54.06     
4380.00   1.16      100.15    4379.28   32.28     54.26     
4390.00   1.13      99.78     4389.28   32.25     54.45     
4400.00   1.09      99.39     4399.28   32.21     54.64     
4410.00   1.06      98.97     4409.28   32.18     54.83     
4420.00   1.03      98.53     4419.27   32.16     55.01     
4430.00   1.00      98.06     4429.27   32.13     55.19     
4440.00   0.97      97.56     4439.27   32.11     55.36     
4450.00   0.93      97.03     4449.27   32.09     55.52     
4460.00   0.90      96.46     4459.27   32.07     55.68     
4470.00   0.70      93.33     4469.27   32.05     55.82     
4480.00   0.48      86.90     4479.27   32.05     55.92     
4490.00   0.28      70.38     4489.27   32.06     55.99     
4500.00   0.16      14.16     4499.27   32.09     56.01     
4510.00   0.29      321.53    4509.27   32.12     56.00     
